GENE;L-O-1;L-O-2;L-O-3;D-O-1;D-O-2;D-O-3;D-A-4;D-A-5;D-A-2
cds3461-aldehyde-dehydrogenase-family-protein;1036;129;2995;3518;1057;977;4242;9631;3452
cds3462-LysM-peptidoglycan-binding-domain-containing-protein;1041;254;2955;4210;1448;1300;5227;14693;3311
cds3463-ATP-dependent-DNA-helicase-RecQ;574;45;1637;2410;540;563;2318;5926;2164
cds3464-hypothetical-protein;629;122;1674;1739;579;466;2126;4963;1610
cds3465-photosystem-I-reaction-center-subunit-IV;1989;298;1424;551;116;130;624;1542;474
cds346-type-II-toxin-antitoxin-system-HicB-family-antitoxin;1687;184;2027;691;199;157;834;1450;416
cds347-type-II-toxin-antitoxin-system-HicA-family-toxin;814;98;1318;466;145;151;368;553;455
cds348;55;1;100;170;19;36;248;503;182
cds349;171;40;448;475;77;87;492;713;284
cds34-glycosyl-hydrolase-family-3;741;112;2179;2995;644;727;3203;8815;2936
cds350;347;82;836;576;286;203;1005;1911;659
cds351-putative-addiction-module-antidote-protein;133;17;414;527;168;170;778;1522;488
cds352;87;3;193;392;68;64;418;552;298
cds353;200;8;567;1203;245;170;1021;2195;862
cds354-hypothetical-protein;173;32;573;931;172;158;903;2065;819
cds355-IS3-family-transposase;321;27;876;1597;259;294;1319;2557;1099
cds356;436;41;1194;1749;324;320;1569;3490;1351
cds357;174;12;597;1096;212;200;1048;2530;901
cds358-ISAs1-family-transposase;142;10;375;806;120;126;585;1072;514
cds359-ISAs1-family-transposase;215;14;634;1216;245;237;1038;2603;812
cds35-hypothetical-protein-WH5701_00645;869;122;1651;2009;404;496;1815;4591;1492
cds360;119;13;303;508;119;112;400;920;411
cds361;57;5;216;358;76;74;290;615;264
cds362-IS3-family-transposase;331;25;905;1722;288;315;1456;2986;1190
cds363;204;13;379;892;131;197;690;1143;645
cds364;425;47;1180;1077;335;272;1526;3681;1017
cds365-IS5-family-transposase,-partial;514;41;1397;2377;519;467;1995;4634;1426
cds366-acyl-ACP-desaturase;5273;337;3437;1024;220;163;965;2274;529
cds367;23;4;91;183;13;21;234;307;87
cds368;130;8;348;836;125;106;684;1248;635
cds369;108;6;224;425;73;129;399;692;407
cds36-uroporphyrinogen-III-synthase;336;35;1107;1304;350;403;1450;3682;1359
cds370;299;23;768;1337;208;261;1188;3201;965
cds371;134;11;272;650;73;88;523;904;449
cds372;115;13;285;342;48;48;191;292;226
cds373;181;39;754;1221;396;335;1706;4766;1112
cds374;95;13;289;422;70;81;357;898;272
cds375-DUF433-domain-containing-protein;203;33;304;415;81;63;273;602;252
cds376;734;106;2411;3269;886;748;4266;9879;3063
cds377-hypothetical-protein;537;158;1181;1175;380;309;1742;3543;955
cds378-hypothetical-protein;188;33;579;665;152;179;799;1279;612
cds379;868;93;1089;1039;182;137;884;1535;690
cds37-hypothetical-protein;345;64;1339;1038;541;461;2162;5469;1425
cds380-IS5-family-transposase;533;73;826;1340;144;229;1088;1784;692
cds381;272;9;759;1629;218;264;1562;3133;953
cds382-type-I-restriction-modification-system-endonuclease;696;70;2301;4817;769;844;4874;11255;3064
cds383-IS3-family-transposase;367;34;883;1652;287;301;1322;2524;1059
cds384-hypothetical-protein;156;29;509;964;157;178;875;2028;841
cds385-putative-addiction-module-antidote-protein;203;25;454;571;226;126;769;2097;532
cds386-type-II-toxin-antitoxin-system-RelE/ParE-family-toxin;252;87;642;731;120;110;663;1038;452
cds387;550;76;624;325;36;56;363;287;204
cds388-DUF1254-domain-containing-protein;1669;265;2232;2664;317;344;1936;4338;1290
cds389-hypothetical-protein-DCF24_02520;265;46;423;553;87;96;453;798;288
cds38-SRPBCC-family-protein;283;63;637;658;129;127;621;1447;476
cds390-hypothetical-protein-DCF24_02525;1954;396;3686;594;537;349;1540;3934;470
cds391-integron-integrase;803;130;1540;1722;395;340;1960;3952;1363
cds392;251;49;886;1238;288;344;1460;3813;917
cds393;169;12;503;906;139;192;742;1453;465
cds394-hypothetical-protein;548;77;1516;1973;458;346;2158;4519;1573
cds395-MEKHLA-domain-containing-protein;371;46;1093;1609;439;362;2133;5683;1591
cds396-putative-small-heat-shock-protein;2217;1635;14188;948;7506;3526;1166;2025;695
cds397-hypothetical-protein;196;32;1017;668;253;113;720;1868;427
cds398-hypothetical-protein;566;73;1533;1985;513;449;2504;6560;1162
cds39-9,9'-di-cis-zeta-carotene-desaturase;1103;276;2290;3145;562;653;3109;6073;2379
cds399-hypothetical-protein;229;9;489;878;214;232;955;1907;929
cds3-DNA-formamidopyrimidine-glycosylase;354;36;922;1254;168;250;1286;2408;917
cds4;971;205;2465;2414;493;461;2712;5422;2104
cds400-cation:proton-antiporter;658;81;2013;2852;674;703;3695;8892;2658
cds401-MBL-fold-metallo-hydrolase;877;107;2059;3250;605;654;2994;7773;2652
cds402-flavin-oxidoreductase;930;158;2606;3547;810;864;4063;8863;3532
cds403-cyanate-hydratase;216;21;344;761;100;107;649;1269;415
cds404-formate/nitrite-transporter-family-protein;244;22;711;1494;182;194;1290;2981;710
cds405-pirin-family-protein;275;41;962;1392;347;295;1449;3153;1172
cds406-DUF924-domain-containing-protein;268;37;575;927;139;143;822;1817;752
cds407-hypothetical-protein;286;84;713;640;142;199;601;1150;584
cds408-hypothetical-protein-WH5701_01995;227;47;620;734;179;148;935;2341;522
cds409-glycine-dehydrogenase-(aminomethyl-transferring);1339;151;3785;5271;1239;1339;5207;13280;4978
cds40-iron-sulfur-cluster-assembly-accessory-protein;883;400;1506;901;382;422;1172;3106;734
cds410-glycine-cleavage-system-protein-GcvH;334;114;969;879;198;202;993;2379;686
cds411-aluminum-resistance-family-protein;514;40;1356;2008;368;432;1773;4327;1873
cds412-acyl-CoA-desaturase;1406;451;2338;1874;509;544;2036;5586;1738
cds413-hypothetical-protein;926;219;1628;1336;276;329;1179;2210;1019
cds414-acyl-CoA-desaturase;3083;1090;5393;1841;528;527;2779;6396;1784
cds415-50S-ribosomal-protein-L9;1659;474;2644;1080;207;194;932;2350;923
cds416-replicative-DNA-helicase;751;161;1630;2628;557;665;2736;6406;2485
cds417-hypothetical-protein;292;25;630;1488;213;228;1135;2507;745
cds418;148;18;659;746;205;189;874;2616;697
cds419-transglutaminase-family-protein;415;100;1617;1871;679;558;2501;6750;2022
cds41-hypothetical-protein;192;15;348;636;150;145;570;1024;544
cds420-sterol-desaturase-family-protein;674;133;1676;1690;502;407;2266;5662;1603
cds421-tRNA-uridine-5-carboxymethylaminomethyl(34)-synthesis-enzyme-MnmG;1010;165;3162;4280;1083;989;4992;12426;3682
cds422-hypothetical-protein;564;105;1348;1563;460;430;2176;4154;1741
cds423-DUF98-domain-containing-protein;366;60;1029;1475;303;362;1542;3722;1351
cds424-hypothetical-protein-WH5701_02075;278;78;1014;1259;325;324;1821;4806;1394
cds425-DUF1269-domain-containing-protein;271;69;710;785;159;174;826;2144;745
cds426;363;124;1088;1641;381;400;2025;5623;1745
cds427;89;10;348;479;112;105;669;1288;256
cds428-M48-family-peptidase;266;23;743;1188;288;253;1225;3420;1056
cds429-hypothetical-protein-WH5701_02119;474;100;696;778;118;130;732;1937;740
cds42-hypothetical-protein;460;61;1267;1982;428;518;1929;4113;1795
cds430-NAD-dependent-DNA-ligase-LigA;896;124;2491;3953;1076;999;4001;10659;3401
cds431-hypothetical-protein;324;35;990;1494;305;267;1408;3231;1096
cds432-hypothetical-protein;163;19;405;601;136;128;597;1877;418
cds433-hypothetical-protein;864;79;1964;3778;783;785;4117;10401;2538
cds434;939;95;2447;4415;827;821;4150;9358;2914
cds435-hypothetical-protein;420;60;1172;1328;434;354;1216;2818;1843
cds436-TVP38/TMEM64-family-protein;298;18;855;1584;291;325;1181;3559;1160
cds437-oxidoreductase;336;24;1185;1488;420;392;1796;4203;1698
cds438-hypothetical-protein;219;18;453;846;167;183;756;1907;666
cds439-VOC-family-protein;392;151;1123;1167;555;436;1983;5961;882
cds43-hypothetical-protein;80;19;286;495;92;97;514;1127;330
cds440;117;13;315;721;147;112;1046;1584;634
cds441;99;15;182;479;122;130;681;1567;414
cds442;75;7;205;332;72;59;340;566;207
cds443;84;6;69;168;34;37;172;236;129
cds444;210;29;479;486;132;174;755;1659;450
cds445-transcriptional-regulator;180;24;329;673;133;120;688;1350;497
cds446;32;3;133;200;28;30;203;549;149
cds447-cytochrome-b;258;40;501;935;86;93;813;1189;524
cds448;260;21;919;1403;225;284;1507;3460;851
cds449;142;14;696;918;191;149;982;2358;658
cds44-TIGR01777-family-protein;471;64;1236;1714;428;366;1996;4685;1651
cds45;155;21;529;648;109;117;496;1299;394
cds450;542;57;763;676;184;155;1061;2660;474
cds451-class-I-SAM-dependent-methyltransferase;2660;202;1933;1208;298;228;1207;3791;940
cds452;225;29;683;699;295;175;906;2969;522
cds453-valine--tRNA-ligase;1293;142;3636;5643;1243;1251;5757;13633;4496
cds454-2OG-Fe(II)-oxygenase;555;89;1389;1845;450;423;2005;4676;1384
cds455-hypothetical-protein;170;8;581;673;195;179;648;1821;577
cds456-hypothetical-protein;230;31;435;401;45;66;291;628;307
cds457;131;18;391;750;95;140;676;1448;490
cds458-SDR-family-NAD(P)-dependent-oxidoreductase;301;30;923;1468;293;350;1249;2526;1240
cds459;593;73;1635;2260;547;516;2453;4942;2080
cds460-mechanosensitive-ion-channel-protein-MscS;813;173;1763;2574;659;609;2971;7547;2002
cds461;28;4;93;192;12;25;134;454;78
cds462-sll0787-family-AIR-synthase-like-protein;376;27;1157;1950;506;482;1895;4238;1574
cds463-GNAT-family-N-acetyltransferase;228;28;919;1274;273;277;1114;2680;999
cds464-MSMEG_0568-family-radical-SAM-protein;567;42;1380;2311;527;523;2195;5388;1876
cds465;216;21;672;998;235;224;1411;2624;811
cds466;283;30;922;1273;346;285;1638;3174;1081
cds467-MSMEG_0572-family-nitrogen-starvation-response-protein;149;21;644;1103;176;203;632;1414;648
cds468-MSMEG_0569-family-flavin-dependent-oxidoreductase;349;24;988;2067;381;354;1663;4251;1511
cds469-hydrocarbon-oxygenase-MocD;518;41;1259;1907;464;446;1822;3853;1679
cds46-molecular-chaperone-DnaJ;297;47;818;1136;202;197;1086;2286;710
cds470-alpha/beta-fold-hydrolase;680;68;1408;2345;465;595;2034;4212;2286
cds471-type-III-glutamate--ammonia-ligase;665;93;1909;2837;749;804;3424;8757;2621
cds472-D-alanyl-D-alanine-carboxypeptidase/D-alanyl-D-alanine-endopeptidase;630;82;1748;2662;523;543;2594;6972;2116
cds473-D-alanyl-D-alanine-carboxypeptidase/D-alanyl-D-alanine-endopeptidase;858;123;2025;3307;695;684;2844;6356;2551
cds474-hypothetical-protein;627;144;678;587;148;129;706;1381;385
cds475-ATPase-P;400;148;909;1013;148;164;731;1863;619
cds476-cation-transporting-ATPase-PacS;976;170;2590;4043;1014;1063;4069;9644;3589
cds477-divalent-cation-tolerance-protein-CutA;265;81;733;735;156;132;663;1140;633
cds478-class-I-SAM-dependent-methyltransferase;385;27;832;1466;366;392;1596;3889;1242
cds479-MoaD/ThiS-family-protein;129;5;374;428;144;136;581;1154;549
cds47-porin;1386;288;2899;3017;629;610;3134;7014;2029
cds480-molybdenum-cofactor-biosynthesis-protein-MoaE;131;9;336;703;149;154;608;1363;604
cds481-molybdopterin-molybdenumtransferase-MoeA;517;47;1655;2640;604;545;2723;7294;2484
cds482-cyclic-pyranopterin-monophosphate-synthase-MoaC;269;63;728;934;217;254;1126;2392;1071
cds483-hypothetical-protein;293;35;825;1197;261;242;1326;2658;938
cds484-sigma-70-family-RNA-polymerase-sigma-factor;266;27;779;1074;295;282;1033;2641;831
cds485-hypothetical-protein;507;98;1553;1799;723;533;2269;5888;1822
cds486-radical-SAM/Cys-rich-domain-protein;501;64;1236;1830;408;461;1722;3853;1792
cds487-pyridine-nucleotide-disulfide-oxidoreductase;1431;176;4038;5346;1674;1732;5634;15015;4458
cds488-UbiE/COQ5-methyltransferase;640;84;1780;2569;695;624;3080;7792;2372
cds489-DUF547-domain-containing-protein;497;57;1127;1642;480;541;1632;4101;1506
cds48-porin;86706;29201;106273;3381;877;826;4587;12051;2827
cds490-hypothetical-protein;594;79;2215;3118;850;760;4063;9680;2648
cds491-glycosyltransferase;315;34;1100;2024;457;416;2354;5716;1731
cds492-MFS-transporter;484;30;1472;2290;572;548;2480;7656;2125
cds493;215;29;405;593;97;109;526;695;427
cds494-polyphosphate-kinase-1;1056;156;2241;3400;751;826;4058;8355;2676
cds495-RpoD/SigA-family-RNA-polymerase-sigma-factor;1627;240;1730;1736;281;336;1665;3174;1090
cds496-hypothetical-protein;241;22;770;1377;265;309;1117;2468;1199
cds497-hypothetical-protein;109;10;208;538;79;91;417;933;350
cds498-3-deoxy-7-phosphoheptulonate-synthase;570;216;1534;1987;415;445;1841;3972;1381
cds499-bifunctional-aconitate-hydratase-2/2-methylisocitrate-dehydratase;1246;214;3482;4767;999;1032;4712;10273;3716
cds49-hypothetical-protein-WH5701_00715;806;156;2429;3139;754;713;2801;6875;2862
cds5;28733;7619;41124;233;402;544;138;242;147
cds50;577;81;1538;2664;579;622;2587;7679;2362
cds500-ClC-family-H(+)/Cl(-)-exchange-transporter;472;53;1670;2471;547;654;2462;6647;2194
cds501-hypothetical-protein;263;21;513;938;230;224;933;1859;863
cds502;564;70;1341;1914;436;464;1492;3202;1602
cds503;288;17;682;857;240;235;789;1720;842
cds504;435;31;1069;1960;305;331;1799;4251;1559
cds505-formyltetrahydrofolate-deformylase;600;95;1286;1891;496;439;1728;4298;1370
cds506-photosystem-II-protein-PsbQ;399;92;774;1146;176;165;1013;2400;688
cds507-NAD-binding-site:D-amino-acid-oxidase;445;32;1041;1660;373;381;1525;4160;1634
cds508-phosphate-ABC-transporter-substrate-binding-protein-PstS;701;230;2038;2077;465;378;2394;5567;1330
cds509-molecular-chaperone-DnaK;30858;12687;75954;4017;11653;11180;3961;8246;3075
cds51;181;7;377;624;184;147;622;1185;531
cds510-shikimate-dehydrogenase;383;59;1271;1748;429;443;2040;5872;1742
cds511-hypothetical-protein;293;59;755;771;121;143;730;1756;618
cds512-30S-ribosomal-protein-S6;3233;1565;3933;641;232;170;671;1421;444
cds513;881;361;1745;1322;454;396;1820;3860;1242
cds514-argininosuccinate-synthase;1405;398;2030;2210;624;520;2788;6665;2022
cds515-hypothetical-protein;140;45;563;784;224;207;1064;3166;656
cds516-MULTISPECIES:-DUF3134-domain-containing-protein;1772;748;2297;679;298;245;993;2262;584
cds517-phospho-N-acetylmuramoyl-pentapeptide--transferas-e;405;46;1182;1706;315;317;1815;4922;1498
cds518-hypothetical-protein;326;75;568;546;95;116;564;1241;397
cds519-5'-phosphoribosylglycinamide-transformylase;243;30;695;479;221;152;603;1578;404
cds520-formate-dependent-phosphoribosylglycinamide-formyltransferase;565;71;1686;1988;487;496;2262;4870;1817
cds521-LytR-family-transcriptional-regulator;657;115;1768;2498;549;519;2386;5932;1950
cds522-hypothetical-protein;898;132;2225;3114;905;835;3847;8861;2738
cds523-excinuclease-ABC-subunit-UvrA;2126;444;4728;6159;1152;1280;6180;13661;4895
cds524-DNA-repair-protein-RecN;601;73;1887;2666;561;569;2583;5314;2333
cds525-AarF/ABC1/UbiB-kinase-family-protein;1230;245;2775;3422;686;719;3111;6087;2566
cds526-alpha/beta-hydrolase;462;74;1314;1442;363;344;1772;3985;1145
cds527-threonine-synthase;504;56;1233;1599;339;327;1504;4019;1192
cds528-DNA-polymerase-III-subunit-beta;612;64;1823;1803;557;543;2070;4704;2120
cds529-RNA-methyltransferase;448;37;1311;1498;429;373;1716;3836;1417
cds52-DUF2079-domain-containing-protein;1905;549;3325;3177;790;665;3357;9092;2715
cds53;485;267;1219;325;256;252;320;614;253
cds530;84;9;225;409;55;65;303;753;257
cds531-phosphoribosylformylglycinamidine-synthase-subunit-PurL;1436;317;4157;5208;1382;1324;5838;14133;4892
cds532-amidophosphoribosyltransferase;2091;832;4051;2339;716;637;3085;6609;2157
cds533-DNA-topoisomerase-4-subunit-A;1027;125;2766;4066;757;872;4021;8481;3191
cds534-tetratricopeptide-repeat-protein;866;205;1499;1730;352;348;1792;4385;1423
cds535-tRNA-epoxyqueuosine(34)-reductase-QueG;385;29;1141;1910;327;356;1814;4280;1415
cds536;194;55;437;641;125;152;619;1836;467
cds537;203;53;420;525;61;96;542;912;430
cds538-DUF502-domain-containing-protein;915;269;1918;1800;615;526;2664;5088;1366
cds539-transcription-antitermination-protein-NusB;272;38;699;1169;199;215;904;2142;712
cds540-signal-recognition-particle-docking-protein-FtsY;456;46;1284;2372;391;435;2143;5481;1553
cds541-serine-phosphatase;799;169;2368;3175;713;660;3564;8848;2779
cds542-argininosuccinate-lyase;664;83;1664;2451;525;514;2529;5284;1984
cds543-tRNA-dihydrouridine(20/20a)-synthase-DusA;945;320;2124;1763;520;461;2031;4821;1536
cds544-NAD(P)/FAD-dependent-oxidoreductase;435;45;1214;2034;453;548;2153;5737;1562
cds545-type-II-secretion-system-F-family-protein;909;146;1759;2591;413;412;2038;4865;1584
cds546-type-IV-pilus-twitching-motility-protein-PilT;501;58;1161;1848;372;400;1704;4205;1423
cds547;530;67;1283;1697;435;433;1881;4298;1490
cds548;261;34;769;1270;160;215;1086;3106;1090
cds549-nucleotide-exchange-factor-GrpE;632;212;1433;1281;465;351;1318;2721;1325
cds54-photosystem-II-D2-protein-(photosystem-q(a)-protein);1291;333;2437;2132;513;524;2192;5040;1556
cds550-molecular-chaperone-DnaJ;682;157;1504;1900;362;390;2035;4412;1748
cds551-hypothetical-protein-WH5701_02819;384;96;1025;808;350;297;1121;3075;930
cds552-ribosome-small-subunit-dependent-GTPase-A;432;84;1392;1701;519;406;2046;4279;1836
cds553-YbaB/EbfC-family-nucleoid-associated-protein;471;128;725;578;133;119;584;1737;633
cds554-UDP-N-acetylmuramate-dehydrogenase;417;27;1036;1606;404;424;1451;3510;1339
cds555-UDP-N-acetylmuramate--L-alanine-ligase;856;108;2309;3027;783;666;3331;7755;2466
cds556-type-I-glyceraldehyde-3-phosphate-dehydrogenase;13189;2183;6128;1951;451;349;1731;3789;1217
cds557-thiamine-phosphate-kinase;519;90;1787;2071;597;570;2699;6349;2005
cds558-peptidylprolyl-isomerase;1109;239;1976;1976;528;482;2187;6060;1640
cds559-elongation-factor-P;1354;631;1610;1038;286;194;1168;2623;975
cds55-hypothetical-protein;676;83;985;718;149;118;726;1440;528
cds560-acetyl-CoA-carboxylase,-biotin-carboxyl-carrier-protein;217;31;556;831;231;241;1130;2625;682
cds561-4-hydroxythreonine-4-phosphate-dehydrogenase;414;52;1273;1717;358;357;1921;4867;1507
cds562-hypothetical-protein;133;38;356;445;151;133;599;1387;413
cds563-hypothetical-protein;379;47;1324;1353;380;406;1452;3548;1557
cds564-hypothetical-protein;134;16;394;317;161;193;613;1693;441
cds565-HNH-endonuclease;158;17;345;706;65;110;505;1124;421
cds566-DEAD/DEAH-box-helicase;413;41;1414;2265;429;453;2054;5614;1966
cds567-hypothetical-protein;108;7;281;518;127;106;499;1455;461
cds568-hypothetical-protein;436;89;1136;1338;413;354;1800;4914;1065
cds569-AbrB-family-transcriptional-regulator;233;32;662;1065;161;162;953;2166;813
cds56-ABC-transporter-ATP-binding-protein;213;10;530;827;138;166;743;1734;696
cds570-hypothetical-protein;303;47;745;886;215;176;843;1861;941
cds571-hypothetical-protein;306;59;592;777;137;140;857;2414;574
cds572-hypothetical-protein;520;66;872;492;77;107;283;485;264
cds573-alanine--glyoxylate-aminotransferase-family-protein;1711;351;2797;2777;716;658;2999;7554;2534
cds574;432;52;1380;1944;453;488;2016;4364;1922
cds575-glutamine-hydrolyzing-GMP-synthase;1747;400;2706;3125;735;709;3396;7761;2492
cds576-hypothetical-protein;364;60;852;1060;187;244;1086;2492;966
cds577-hypothetical-protein;128;16;555;691;149;155;769;1910;623
cds578-penicillin-binding-protein-2;824;133;2319;3232;803;735;3699;9262;3476
cds579-glycosyltransferase-family-1-protein;757;76;1689;1981;647;655;2313;7184;2342
cds57-response-regulator-transcription-factor;758;96;1061;1403;239;273;1414;3429;937
cds580-NAD-dependent-epimerase/dehydratase-family-protein;3020;975;4587;2863;575;446;2806;6183;2021
cds581-ssl1498-family-light-harvesting-like-protein;135;15;287;457;126;90;522;976;303
cds582-thiazole-synthase;269;26;757;1219;253;277;1082;2911;1011
cds583-hypothetical-protein;1080;243;1690;1207;242;217;1154;2815;887
cds584-tetratricopeptide-repeat-protein;557;237;1490;1192;217;221;1204;3560;818
cds585-50S-ribosomal-protein-L20;2829;752;3480;1187;419;296;1623;4504;872
cds586-50S-ribosomal-protein-L35;6428;1181;8038;771;268;188;999;2082;490
cds587-SpoIID/LytB-domain-containing-protein;852;166;2795;3179;1075;981;3605;9125;3395
cds588-glycosyltransferase-family-2-protein;707;139;1884;2939;586;575;3055;7843;2497
cds589-DNA-polymerase-III-subunit-gamma/tau;667;85;2043;2929;682;760;3201;7420;2834
cds58-DNA-polymerase-III-subunit-delta';328;33;750;1393;224;276;1086;2683;1117
cds59;202;15;442;788;177;175;533;1272;628
cds590-NC-domain-protein;519;171;1718;1474;594;465;1821;4906;1617
cds591;201;22;377;545;112;118;415;661;443
cds592;1384;334;2121;2187;413;438;2049;4183;1561
cds593-ATP-dependent-Clp-endopeptidase-proteolytic-subunit-ClpP;1721;629;3060;1366;384;320;1623;2952;1326
cds594-trigger-factor;1829;513;2838;2746;631;635;2486;5690;2330
cds595;376;71;979;682;410;296;1188;2912;865
cds596;853;216;2319;2164;737;699;2702;5727;2470
cds597-4-hydroxy-tetrahydrodipicolinate-synthase;675;191;2110;2160;708;647;2937;7154;2001
cds598-RNase-J-family-beta-CASP-ribonuclease;3773;890;6492;3369;841;856;3367;7598;2947
cds599-hypothetical-protein;180;23;560;712;152;163;705;2001;614
cds60;79;16;218;273;87;94;235;645;304
cds600;709;60;2026;2485;660;704;2351;5313;2653
cds601-membrane-protein;264;44;611;917;228;244;848;2724;749
cds602-excinuclease-ABC-subunit-UvrB;1335;304;3172;4130;811;748;4434;9688;2855
cds603-sugar-transferase;594;86;1802;2382;397;486;2218;5086;1536
cds604-aspartate-kinase;734;70;1724;2609;662;584;2517;6494;2318
cds605-DNA-polymerase-III-subunit-delta;270;19;1061;1401;320;334;1541;3620;1261
cds606-precorrin-8X-methylmutase;131;34;416;719;139;142;687;1554;717
cds607;379;62;995;1529;356;348;1401;4079;1390
cds608;595;50;1647;2728;646;559;2518;6966;2527
cds609-photosystem-II-reaction-center-protein-PsbZ;169;19;395;388;72;72;365;1059;397
cds610-6,7-dimethyl-8-ribityllumazine-synthase;171;28;428;691;89;137;495;1060;457
cds611-polysaccharide/polyol-phosphate-ABC-transporter-ATP-binding-protein;931;187;1565;1316;281;222;1226;2794;900
cds612-phosphate-ABC-transporter-permease;991;188;1575;1708;391;362;2214;6320;1096
cds613-Glucose-1-phosphate-cytidylyltransferase;2775;284;3549;1215;369;264;1831;3959;987
cds614-CDP-glucose-4,6-dehydratase;725;127;1998;2082;521;549;2334;6219;1924
cds615-NDP-hexose-3,4-dehydratase;1053;168;2220;2932;648;723;3352;7172;2441
cds616-SDR-family-oxidoreductase;316;34;660;1203;152;168;1205;2122;705
cds617-hypothetical-protein;524;52;1010;1744;227;301;1744;3389;1245
cds618-thiamine-pyrophosphate-binding-protein;2716;256;3683;2553;398;521;2914;4739;1708
cds619-aldolase;1321;174;2879;1686;349;333;2359;5751;887
cds61-putative-P-type-ATPase-transporter-for-copper;838;68;2285;3115;775;814;2960;7066;2920
cds620;429;46;1017;1522;293;234;1706;2861;1134
cds621;810;116;1874;1978;608;509;3254;6632;1610
cds622;563;51;1373;1766;385;319;2106;4785;1154
cds623;282;74;734;978;176;191;1150;2032;716
cds624;388;35;788;1316;199;252;1162;2031;1027
cds625-transposase;182;33;491;600;154;147;686;1558;464
cds626;5628;5255;4085;2842;1575;1642;2171;4420;6800
cds627;58;6;155;195;40;37;363;509;186
cds628;115;4;300;298;94;76;466;719;358
cds629;165;17;358;722;100;140;612;1203;560
cds62-photosystem-I-assembly-protein-Ycf3;794;171;1477;1243;202;230;1097;2425;785
cds63;331;56;838;1325;355;319;1579;3321;1374
cds630-IS21-family-transposase;524;28;1670;2816;501;617;2732;6551;2278
cds631;189;14;520;887;151;192;939;2272;773
cds632-IS3-family-transposase;357;31;872;1559;284;300;1137;2041;1149
cds633;162;12;522;967;137;158;611;1339;607
cds634;111;19;295;578;92;123;495;921;456
cds635;229;20;741;1305;248;252;1203;3089;1016
cds636;206;38;516;592;201;185;880;2119;584
cds637-nucleotidyltransferase-domain-containing-protein;240;27;605;910;133;155;759;1947;562
cds638;368;114;1043;1517;366;320;1780;4632;1088
cds639;400;168;1244;1175;266;259;1502;2865;875
cds64;412;40;1042;1555;446;476;1779;4663;1317
cds640-hypothetical-protein;183;29;569;956;143;179;831;2088;773
cds641-IS3-family-transposase;318;28;848;1616;290;315;1294;2547;1082
cds642-death-on-curing-protein;200;29;400;551;53;88;459;815;246
cds643;344;79;1169;1660;452;407;1785;4551;1425
cds644-hypothetical-protein-DCF18_00630;103;15;331;418;79;79;471;932;302
cds645-hypothetical-protein-DCF18_00625;247;46;587;821;133;127;847;1577;407
cds646-MULTISPECIES:-type-II-toxin-antitoxin-system-HicB-family-antitoxin;168;57;377;568;181;145;690;1593;440
cds647-type-II-toxin-antitoxin-system-HicA-family-toxin;101;10;285;357;63;80;423;705;302
cds648;149;25;593;672;253;146;842;2636;465
cds649;319;39;1059;1448;331;354;1369;2616;1265
cds650-IS5-like-element-ISSysp5-family-transposase;313;31;981;1483;299;357;1393;3318;1264
cds651;95;6;219;416;58;90;265;520;283
cds652;64;9;113;283;43;39;287;452;204
cds653-transposase;196;19;578;718;200;204;971;1363;738
cds654;352;34;955;1329;271;284;1148;2387;1001
cds655;171;20;461;919;142;168;745;1211;679
cds656;43313;4994;46501;9165;2006;1901;11464;23984;5851
cds657;2447;212;3396;1189;443;396;2170;5701;887
cds658-IS5-family-transposase;381;54;832;1352;174;224;1024;2038;811
cds659-Insertion-element-ISR1-uncharacterized-10-kDa-protein-A3;201;8;323;789;85;123;370;923;476
cds65-response-regulator-transcription-factor;2712;594;2171;1335;384;345;1402;3759;981
cds660-transposase;223;11;665;735;187;211;341;701;770
cds661-IS21-family-transposase;382;33;1164;2134;406;471;2020;5156;1598
cds662;234;11;479;862;182;171;933;2244;751
cds663;97;6;341;384;99;113;486;963;420
cds664-transposase;261;9;657;703;203;228;352;701;772
cds665-Insertion-element-ISR1-uncharacterized-10-kDa-protein-A3;162;15;373;783;85;125;371;900;469
cds666;111;8;232;628;83;83;422;666;370
cds667;946;108;1653;1320;365;352;1714;3784;1031
cds668-Hypothetical-protein-P9303_01491;768;107;1194;1144;186;203;1042;2090;851
cds669;1175;368;1806;397;175;89;576;1109;280
cds66-phosphate-acyltransferase-PlsX;562;100;1602;2296;420;440;2110;5177;1731
cds670-glycosyltransferase-family-2-protein;949;159;1201;1198;138;227;1165;2369;814
cds671-glycosyltransferase;672;71;2010;3395;656;663;3826;9098;2305
cds672;290;45;756;1146;212;240;791;1638;843
cds673-hypothetical-protein-PMIT1323_00304;341;64;915;1123;225;298;1052;2727;978
cds674-MULTISPECIES:-sulfotransferase;444;54;971;1236;256;265;1329;2445;860
cds675;1011;136;2225;2480;777;620;3743;9727;2291
cds676-preprotein-translocase-subunit-SecA;4237;618;5043;5079;956;1005;4500;9840;3146
cds677;244;20;651;1234;228;234;1260;2954;712
cds678;32;7;123;260;42;45;300;598;143
cds679;45;1;223;442;51;58;219;355;158
cds67-ketoacyl-ACP-synthase-III;480;75;1244;1732;372;377;1702;4387;1464
cds68;555;126;1557;2240;520;479;2356;6304;1579
cds680-IS5-family-transposase,-partial;556;52;1623;2305;611;531;2452;5425;1524
cds681;28;5;97;172;60;40;360;834;201
